Question,Option 1,Option 2,Option 3,Category,Option 4
Which subject do you enjoy studying the most?,Mathematics and Science,Economics and Business Studies,History and Literature,,
What kind of activities do you excel in?,Solving mathematical problems or conducting experiments,Managing finances or creating business strategies,"Writing stories, painting, or acting in plays",,
What type of career are you most interested in?,"Engineer, Scientist, or Doctor","Entrepreneur, Accountant, or Economist","Artist, Historian, or Writer",,
How do you prefer to approach challenges?,Through logical and analytical thinking,By considering practical applications and profitability,With creativity and emotional understanding,,
What kind of projects do you enjoy the most? (Example 5),Scientific research or technology-based projects (5),Business plans or financial models (5),"Artistic, historical, or cultural studies (5)",,
What kind of projects do you enjoy the most? (Example 6),Scientific research or technology-based projects (6),Business plans or financial models (6),"Artistic, historical, or cultural studies (6)",,
What kind of projects do you enjoy the most? (Example 7),Scientific research or technology-based projects (7),Business plans or financial models (7),"Artistic, historical, or cultural studies (7)",,
What kind of projects do you enjoy the most? (Example 8),Scientific research or technology-based projects (8),Business plans or financial models (8),"Artistic, historical, or cultural studies (8)",,
What kind of projects do you enjoy the most? (Example 9),Scientific research or technology-based projects (9),Business plans or financial models (9),"Artistic, historical, or cultural studies (9)",,
What kind of projects do you enjoy the most? (Example 10),Scientific research or technology-based projects (10),Business plans or financial models (10),"Artistic, historical, or cultural studies (10)",,
What kind of projects do you enjoy the most? (Example 11),Scientific research or technology-based projects (11),Business plans or financial models (11),"Artistic, historical, or cultural studies (11)",,
What kind of projects do you enjoy the most? (Example 12),Scientific research or technology-based projects (12),Business plans or financial models (12),"Artistic, historical, or cultural studies (12)",,
What kind of projects do you enjoy the most? (Example 13),Scientific research or technology-based projects (13),Business plans or financial models (13),"Artistic, historical, or cultural studies (13)",,
What kind of projects do you enjoy the most? (Example 14),Scientific research or technology-based projects (14),Business plans or financial models (14),"Artistic, historical, or cultural studies (14)",,
What kind of projects do you enjoy the most? (Example 15),Scientific research or technology-based projects (15),Business plans or financial models (15),"Artistic, historical, or cultural studies (15)",,
What kind of projects do you enjoy the most? (Example 16),Scientific research or technology-based projects (16),Business plans or financial models (16),"Artistic, historical, or cultural studies (16)",,
What kind of projects do you enjoy the most? (Example 17),Scientific research or technology-based projects (17),Business plans or financial models (17),"Artistic, historical, or cultural studies (17)",,
What kind of projects do you enjoy the most? (Example 18),Scientific research or technology-based projects (18),Business plans or financial models (18),"Artistic, historical, or cultural studies (18)",,
What kind of projects do you enjoy the most? (Example 19),Scientific research or technology-based projects (19),Business plans or financial models (19),"Artistic, historical, or cultural studies (19)",,
What kind of projects do you enjoy the most? (Example 20),Scientific research or technology-based projects (20),Business plans or financial models (20),"Artistic, historical, or cultural studies (20)",,
What kind of projects do you enjoy the most? (Example 21),Scientific research or technology-based projects (21),Business plans or financial models (21),"Artistic, historical, or cultural studies (21)",,
What kind of projects do you enjoy the most? (Example 22),Scientific research or technology-based projects (22),Business plans or financial models (22),"Artistic, historical, or cultural studies (22)",,
What kind of projects do you enjoy the most? (Example 23),Scientific research or technology-based projects (23),Business plans or financial models (23),"Artistic, historical, or cultural studies (23)",,
What kind of projects do you enjoy the most? (Example 24),Scientific research or technology-based projects (24),Business plans or financial models (24),"Artistic, historical, or cultural studies (24)",,
What kind of projects do you enjoy the most? (Example 25),Scientific research or technology-based projects (25),Business plans or financial models (25),"Artistic, historical, or cultural studies (25)",,
What kind of projects do you enjoy the most? (Example 26),Scientific research or technology-based projects (26),Business plans or financial models (26),"Artistic, historical, or cultural studies (26)",,
What kind of projects do you enjoy the most? (Example 27),Scientific research or technology-based projects (27),Business plans or financial models (27),"Artistic, historical, or cultural studies (27)",,
What kind of projects do you enjoy the most? (Example 28),Scientific research or technology-based projects (28),Business plans or financial models (28),"Artistic, historical, or cultural studies (28)",,
